vn_genome_ids,c00,c01,c10,c11,c1s,c_sum
HG02136,20,0,1,0,1,21
HG01852,21,0,0,0,0,21
HG02137,21,0,0,0,0,21
HG01850,20,0,1,0,1,21
HG01857,20,0,1,0,1,21
HG02061,21,0,0,0,0,21
HG02142,19,2,0,0,2,21
HG01863,21,0,0,0,0,21
HG02026,21,0,0,0,0,21
HG01871,20,1,0,0,1,21
HG02141,21,0,0,0,0,21
HG01873,18,3,0,0,3,21
HG02049,20,0,1,0,1,21
HG02086,20,1,0,0,1,21
HG02113,21,0,0,0,0,21
HG01847,21,0,0,0,0,21
HG02513,12,0,0,0,0,12
HG02138,12,0,0,0,0,12
HG02075,12,0,0,0,0,12
HG02031,12,0,0,0,0,12
HG02084,12,0,0,0,0,12
HG02047,12,0,0,0,0,12
HG01597,12,0,0,0,0,12
HG01849,12,0,0,0,0,12
HG02023,11,1,0,0,1,12
HG01846,12,0,0,0,0,12
HG02081,12,0,0,0,0,12
HG01599,12,0,0,0,0,12
HG01866,12,0,0,0,0,12
HG02064,12,0,0,0,0,12
HG02069,12,0,0,0,0,12
HG02087,12,0,0,0,0,12
HG02017,12,0,0,0,0,12
HG01864,12,0,0,0,0,12
HG01868,11,0,1,0,1,12
HG01596,12,0,0,0,0,12
HG02072,11,1,0,0,1,12
HG02079,12,0,0,0,0,12
HG01600,12,0,0,0,0,12
HG02140,12,0,0,0,0,12
HG01841,12,0,0,0,0,12
HG02020,12,0,0,0,0,12
HG01878,11,0,1,0,1,12
HG02085,12,0,0,0,0,12
HG01598,12,0,0,0,0,12
HG01872,12,0,0,0,0,12
HG02073,12,0,0,0,0,12
HG01845,12,0,0,0,0,12
HG02032,12,0,0,0,0,12
HG02088,12,0,0,0,0,12
HG01840,12,0,0,0,0,12
HG01855,12,0,0,0,0,12
HG02050,11,0,0,1,1,12
HG01844,11,0,1,0,1,12
HG02067,12,0,0,0,0,12
HG02133,12,0,0,0,0,12
HG02127,12,0,0,0,0,12
HG02512,12,0,0,0,0,12
HG02040,12,0,0,0,0,12
HG01859,12,0,0,0,0,12
HG02078,12,0,0,0,0,12
